movieid	g1	g2	g3	g4	g5	director	s1	s2	s3	s4	language
1	Adventure	Animation	Children	Comedy	"Fantasy"	"John Lasseter"	"Tim Allen"	"Tom Hanks"	"Don Rickles"	"Jim Varney"	"English"
2	Adventure	Children	Fantasy	null	"null"	"Joe Johnston"	"Jonathan Hyde"	"Bradley Pierce"	"Robin Williams"	"Kirsten Dunst"	"English"
6	Action	Crime	Thriller	null	"null"	"Michael Mann"	"Robert De Niro"	"Al Pacino"	"Val Kilmer"	"Jon Voight"	"English"
10	Action	Adventure	Thriller	null	"null"	"Martin Campbell"	"Pierce Brosnan"	"Sean Bean"	"Famke Janssen"	"Izabella Scorupco"	"English"
21	Action	Comedy	Drama	null	"null"	"Barry Sonnenfeld"	"John Travolta"	"Gene Hackman"	"Rene Russo"	"Danny DeVito"	"English"
32	Mystery	Sci-Fi	Thriller	null	"null"	"Terry Gilliam"	"Bruce Willis"	"Jon Seda"	"Simon Jones"	"Madeleine Stowe"	"English"
34	Children	Comedy	Drama	Fantasy	"null"	"Chris Noonan"	"Danny Mann"	"Hugo Weaving"	"Christine Cavanaugh"	"Miriam Margolyes"	"English"
39	Comedy	Romance	null	null	"null"	"Amy Heckerling"	"Alicia Silverstone"	"Paul Rudd"	"Stacey Dash"	"Brittany Murphy"	"English"
47	Crime	Mystery	Thriller	null	"null"	"David Fincher"	"Brad Pitt"	"Morgan Freeman"	"Gwyneth Paltrow"	"Kevin Spacey"	"English"
50	Crime	Mystery	Thriller	null	"null"	"Bryan Singer"	"Stephen Baldwin"	"Gabriel Byrne"	"Benicio Del Toro"	"Kevin Pollak"	"null"
95	Action	Adventure	Thriller	null	"null"	"John Woo"	"Delroy Lindo"	"Christian Slater"	"John Travolta"	"Samantha Mathis"	"English"
110	Action	Drama	War	null	"null"	"Mel Gibson"	"Mel Gibson"	"Brian Cox"	"Sophie Marceau"	"Catherine McCormack"	"English"
111	Crime	Drama	Thriller	null	"null"	"Martin Scorsese"	"Robert De Niro"	"Cybill Shepherd"	"Peter Boyle"	"Jodie Foster"	"English"
150	Adventure	Drama	IMAX	null	"null"	"Ron Howard"	"Tom Hanks"	"Kevin Bacon"	"Bill Paxton"	"Gary Sinise"	"English"
153	Action	Adventure	Comedy	Crime	"null"	"Joel Schumacher"	"Jim Carrey"	"Tommy Lee Jones"	"Val Kilmer"	"Nicole Kidman"	"English"
165	Action	Crime	Thriller	null	"null"	"John McTiernan"	"Bruce Willis"	"Jeremy Irons"	"Samuel L. Jackson"	"Nicholas Wyman"	"English"
208	Action	Adventure	Sci-Fi	null	"null"	"Kevin Costner"	"Kevin Costner"	"Jeanne Tripplehorn"	"Dennis Hopper"	"Chaim Girafi"	"English"
223	Comedy	null	null	null	"null"	"Kevin Smith"	"Brian OHalloran"	"Jeff Anderson"	"Jason Mewes"	"Kevin Smith"	"English"
