@relation um-16681-bool

@attribute gender {'Thriller', 'IMAX', 'War', 'Musical', 'Crime', 'Horror', 'Sci-Fi', 'Western', 'Action', 'Film-Noir', 'Adventure', 'Children', 'Comedy', 'Fantasy', 'Drama', 'Romance', 'Animation', 'Mystery'}
@attribute director {'Nora Ephron', 'John McTiernan', 'George Roy Hill', 'Robert Zemeckis', 'Peter Lord', 'Chuck Russell', 'Frank Darabont', 'Penny Marshall', 'Irvin Kershner', 'Gore Verbinski', 'Ridley Scott', 'Sharon Maguire', 'Kevin Costner', 'Luc Besson', 'Stephen Sommers', 'Wes Anderson', 'Danny Boyle', 'Ivan Reitman', 'Barry Sonnenfeld', 'Joe Johnston', 'Peter Cattaneo', 'Trey Parker', 'McG', 'Clint Eastwood', 'John Cleese', 'William Friedkin', 'Peter Weir', 'Mike Nichols', 'Richard Donner', 'Spike Jonze', 'Penelope Spheeris', 'Simon West', 'Jim Abrahams', 'Joe Dante', 'Stephen Frears', 'Steven Spielberg', 'Gus Van Sant', 'Ron Howard', 'Tim Burton', 'Orson Welles', 'George Lucas', 'James L. Brooks', 'Peter Jackson', 'Andrew Davis', 'David O. Russell', 'Sam Mendes', 'John Madden', 'Andrew Adamson', 'Francis Ford Coppola', 'John G. Avildsen', 'Joel Schumacher', 'James Cameron', 'Dean Parisot', 'Bryan Singer', 'Ron Clements', 'Andrew Stanton', 'Jay Roach', 'David Cronenberg', 'Tony Scott', 'Kevin Smith', 'Chris Weitz', 'Peter Faiman', 'George Armitage', 'Tobe Hooper', 'Cameron Crowe', 'Paul Thomas Anderson', 'Stanley Kubrick', 'Mel Stuart', 'Martin Brest', 'M. Night Shyamalan', 'Amy Heckerling', 'Ron Underwood', 'Chris Columbus', 'John Landis', 'Mel Brooks', 'John Lasseter', 'Terry Gilliam', 'Michael Mann', 'Victor Fleming', 'Martin Scorsese', 'Franklin J. Schaffner', 'Bobby Farrelly', 'Gary Ross', 'Andy Wachowski', 'Jonathan Lynn', 'Jan de Bont', 'John Hughes', 'Paul Verhoeven', 'Steven Soderbergh', 'Chris Noonan', 'Andrew Niccol', 'Daniel Myrick', 'David Fincher', 'Rob Reiner', 'Ang Lee', 'Warren Beatty', 'Mike Judge', 'Phillip Noyce', 'Christopher Nolan', 'Jonathan Demme', 'Mike Newell', 'Randal Kleiser', 'Richard Marquand', 'Anthony Minghella', 'Gary Trousdale', 'Alfred Hitchcock', 'Nicholas Meyer', 'Frank Marshall', 'Quentin Tarantino', 'Sofia Coppola', 'Renny Harlin', 'Harold Ramis', 'Sam Raimi', 'Milos Forman', 'Wolfgang Petersen', 'Jerry Zucker', 'Pete Docter', 'Roger Allers', 'Michael Bay', 'Sydney Pollack', 'Barry Levinson', 'Oliver Stone', 'Doug Liman', 'Frank Capra', 'Peter Farrelly', 'Neil Jordan', 'John Woo', 'Roland Emmerich', 'Michael Curtiz', 'Brian De Palma', 'David Hand', 'Mel Gibson', 'Tom Shadyac', 'Curtis Hanson', 'Joel Coen', 'Martin Campbell', 'Garry Marshall'}
@attribute starring {'Brian Cox', 'Albert Brooks', 'Harrison Ford', 'Kate Winslet', 'Bruce Willis', 'Patrick Magee', 'Elizabeth Hurley', 'Kevin Costner', 'Burt Young', 'Steve Harris', 'Charlton Heston', 'Ingrid Bergman', 'Jack Nicholson', 'Sean Astin', 'Kevin Spacey', 'Albert Finney', 'Tom Hanks', 'Gary Oldman', 'Michael Berryman', 'Jack Albertson', 'Simon Callow', 'Kirsten Dunst', 'Rod Taylor', 'Greg Kinnear', 'Anthony Michael Hall', 'William Katt', 'Dina Meyer', 'Tom Sizemore', 'Alan Arkin', 'Pete Postlethwaite', 'Ron Livingston', 'David Gulpilil', 'Philip Baker Hall', 'Sean Connery', 'Benicio Del Toro', 'Orson Welles', 'John Travolta', 'John Heard', 'Rory Culkin', 'Lauren Holly', 'Laurence Fishburne', 'Stellan Skarsg̴rd', 'Robert Shaw', 'Sean Penn', 'Jonny Lee Miller', 'Anthony Perkins', 'Nick Searcy', 'Eva Marie Saint', 'F. Murray Abraham', 'DeForest Kelley', 'Danny Glover', 'Barbara Bel Geddes', 'Brian OHalloran', 'Lukas Haas', 'Marisa Tomei', 'Michael Douglas', 'Charlie Korsmo', 'Drew Barrymore', 'Michael Gambon', 'Tim Roth', 'Martin Kove', 'Don Ameche', 'Matt Stone', 'Linda Hamilton', 'Ren̩e Zellweger', 'Tom Skerritt', 'Bernie Mac', 'Pat Morita', 'Jason Robards', 'Richard Attenborough', 'Jeff Bridges', 'Melinda Dillon', 'Hal Holbrook', 'Jack Black', 'Sam Robards', 'William Sylvester', 'Alan Rickman', 'Donna Reed', 'Mel Brooks', 'Anne Archer', 'Crispin Glover', 'Jodie Foster', 'Patrick Swayze', 'Chris Klein', 'Alexis Cruz', 'Adam Baldwin', 'Paul Winfield', 'Robert Duvall', 'Kevin Kline', 'Reginald VelJohnson', 'Brendan Fraser', 'Scott Weinger', 'James Spader', 'Matt Damon', 'Phoebe Cates', 'Christina Ricci', 'Patrick Bergin', 'Ralph Macchio', 'Janet Leigh', 'Ellen Burstyn', 'Juliette Lewis', 'James Earl Jones', 'Michael York', 'Christopher Lloyd', 'Will Smith', 'Sterling Hayden', 'Natalie Portman', 'Demi Moore', 'John Hannah', 'Trey Wilson', 'Jennifer Connelly', 'Samuel L. Jackson', 'Jonathan Hyde', 'William Forsythe', 'Chris Elliott', 'Dougray Scott', 'Tom Cruise', 'Arnold Schwarzenegger', 'Aaron Eckhart', 'James Stewart', 'Anna Faris', 'Pierce Brosnan', 'Leonard Nimoy', 'Bill Murray', 'Hugo Weaving', 'Joan Cusack', 'Sylvester Stallone', 'Humphrey Bogart', 'Mark Hamill', 'Vera Miles', 'Mary Kay Bergman', 'Paul Hogan', 'Harry Dean Stanton', 'Christopher Lee', 'Ronny Cox', 'Paul Rudd', 'Famke Janssen', 'Steve Huison', 'Lori Petty', 'Stacey Dash', 'Lucille La Verne', 'Leonardo DiCaprio', 'Alicia Silverstone', 'Charlie Sheen', 'Tom Hulce', 'Ewen Bremner', 'Eddie Murphy', 'Geoffrey Blake', 'Jeremy Irons', 'Philip Seymour Hoffman', 'Michelle Yeoh', 'Roshan Seth', 'Amy Irving', 'Arnold Vosloo', 'Phil Daniels', 'River Phoenix', 'Chazz Palminteri', 'Toni Collette', 'Martin Landau', 'Tippi Hedren', 'Dan OHerlihy', 'Matt Dillon', 'Zach Galligan', 'Cybill Shepherd', 'Don Rickles', 'Christopher Reeve', 'Tim Allen', 'Burt Reynolds', 'John Getz', 'Molly Ringwald', 'Chris Cooper', 'Marty Feldman', 'Billy Bob Thornton', 'Danny Lloyd', 'Nancy Allen', 'Cary Elwes', 'Dave Foley', 'Robby Benson', 'Joe Pantoliano', 'Hayden Christensen', 'Val Kilmer', 'Simon Jones', 'Peter Brocco', 'Deborah Kara Unger', 'Rowan Atkinson', 'Max von Sydow', 'Macaulay Culkin', 'Wil Wheaton', 'Jeff Goldblum', 'Robert De Niro', 'Ethan Hawke', 'Casper Van Dien', 'Roy Atwell', 'George Dzundza', 'John Goodman', 'Kathy Bates', 'Kevin Bacon', 'Keanu Reeves', 'Robert Wuhl', 'Kate Hudson', 'Michael C. Williams', 'Corey Feldman', 'Robert Redford', 'Stephen Baldwin', 'George C. Scott', 'Sean Bean', 'Patrick Stewart', 'Jude Law', 'Cate Blanchett', 'Hugh Grant', 'Anjelica Huston', 'Zack Norman', 'Edward James Olmos', 'Michael Madsen', 'John Malkovich', 'Warren Beatty', 'Gary Lockwood', 'Diane Keaton', 'James Cromwell', 'Anne Bancroft', 'Lea Thompson', 'Billy Crudup', 'Christine Cavanaugh', 'Kelly McGillis', 'Robert Carlyle', 'Katharine Ross', 'Oliver Reed', 'Mandy Patinkin', 'Meg Ryan', 'Rodney Dangerfield', 'Courteney Cox', 'Jason Alexander', 'Roddy McDowall', 'Joanna Cassidy', 'James Brown', 'Colin Firth', 'Gary Busey', 'Sharon Stone', 'Christopher Walken', 'Jason Mewes', 'Gabriel Byrne', 'Morgan Freeman', 'Milla Jovovich', 'Brawley Nolte', 'Jacob Vargas', 'Kurt Russell', 'Dorothy Comingore', 'JoBeth Williams', 'Mykelti Williamson', 'R. Lee Ermey', 'Ewan McGregor', 'Gerald R. Molen', 'Billy Crystal', 'Chris Noth', 'Richard Gere', 'Russell Crowe', 'Thora Birch', 'Karen Allen', 'Sigourney Weaver', 'Harley Jane Kozak', 'Robin Williams', 'Ed Harris', 'Vincent DOnofrio', 'Jeanne Tripplehorn', 'Dustin Hoffman', 'Dee Wallace-Stone', 'Andy Garcia', 'Daniel Stern', 'Robert Loggia', 'Julianne Moore', 'John Cleese', 'Heather Graham', 'Paul Henreid', 'Teri Garr', 'Michael Palin', 'Mark Wahlberg', 'Sean Young', 'Ian McKellen', 'Hugh Jackman', 'Jon Voight', 'Shelley Duvall', 'Spencer Treat Clark', 'Spike Jonze', 'Nicole Kidman', 'Blythe Danner', 'Jean Reno', 'Leslie Nielsen', 'Kim Novak', 'Bob Hoskins', 'Linda Fiorentino', 'Thelma Ritter', 'Tung Thanh Tran', 'Frances McDormand', 'Edward Burns', 'Paul Freeman', 'William H. Macy', 'Sam Neill', 'John Belushi', 'Cameron Diaz', 'Rob Lowe', 'Gary Sinise', 'Sophie Marceau', 'Eric Idle', 'Catherine Keener', 'Matthew Broderick', 'Alessandro Nivola', 'Bruno Kirby', 'Kristin Scott Thomas', 'Winona Ryder', 'Brad Pitt', 'Robert Sean Leonard', 'Daniel Radcliffe', 'Peter Greene', 'Jeff Conaway', 'Bob Gunton', 'Peter Riegert', 'Danny DeVito', 'Jessica Lange', 'Gene Hackman', 'George Clooney', 'Martin Sheen', 'Seann William Scott', 'Dan Aykroyd', 'Lionel Barrymore', 'John Rhys-Davies', 'Ajay Naidu', 'Malcolm McDowell', 'Ice Cube', 'Peter Boyle', 'Todd Louiso', 'John Ashton', 'Dylan McDermott', 'Jeff Anderson', 'Whoopi Goldberg', 'Fran̤ois Truffaut', 'Noah Emmerich', 'Christopher Guest', 'Guy Pearce', 'Eugene Levy', 'Tim Blake Nelson', 'John Cusack', 'Robert Hays', 'Haley Joel Osment', 'Gwyneth Paltrow', 'Ray Bolger', 'Craig T. Nelson', 'Andrew Chavez', 'Julie Hagerty', 'Michael Keaton', 'Tom Arnold', 'Lance Henriksen', 'Piper Laurie', 'Scarlett Johansson', 'Billy Zane', 'Michael McKean', 'Edward Furlong', 'Don Cheadle', 'Tim McMullen', 'Harry Shearer', 'Richard Farnsworth', 'Franka Potente', 'Jerry Orbach', 'Reese Witherspoon', 'Emma Watson', 'Annette Bening', 'Willem Dafoe', 'Graham Chapman', 'Kelly Preston', 'Linda Kozlowski', 'Johnny Depp', 'John Lithgow', 'Graham Greene', 'Dennis Hopper', 'Alexander Gould', 'Alec Baldwin', 'Marcia Strassman', 'Orlando Bloom', 'Justin Cooper', 'Michael Rooker', 'Edward Norton', 'James Coburn', 'Jeff Daniels', 'Jim Carrey', 'Nicolas Cage', 'Julia Roberts', 'Marlon Brando', 'Denzel Washington', 'Joe Morton', 'Rene Russo', 'Roy Scheider', 'Glenn Close', 'Tom Berenger', 'Tobey Maguire', 'Jason Biggs', 'Liam Neeson', 'Bradley Pierce', 'Matt Frewer', 'Chow Yun-Fat', 'Keir Dullea', 'Henry Thomas', 'Joaquin Phoenix', 'Cleavon Little', 'Paul Reiser', 'Rick Moranis', 'Mark Addy', 'Trey Parker', 'Ellen DeGeneres', 'Clint Eastwood', 'Bill Duke', 'Denise Richards', 'Hoyt Axton', 'Stephen Furst', 'Delroy Lindo', 'Joshua Leonard', 'Judge Reinhold', 'Ben Kingsley', 'David Herman', 'Olivia Newton-John', 'James Franco', 'Patricia Arquette', 'Anthony Edwards', 'Adriana Caselotti', 'William Shatner', 'John Candy', 'James Mason', 'Scott Glenn', 'Jeffrey Jones', 'Billy Dee Williams', 'Tony Haygarth', 'Michael Clarke Duncan', 'Woody Harrelson', 'Jake Lloyd', 'Josh Charles', 'Peter Ostrum', 'Peter Weller', 'Leo Burmester', 'Gene Wilder', 'Bill Pullman', 'Paul Newman', 'Frank Morgan', 'Frances OConnor', 'Alan Ruck', 'Michael Biehn', 'Joss Ackland', 'Amrish Puri', 'Julia Louis-Dreyfus', 'Mike Myers', 'Joseph Fiennes', 'Forest Whitaker', 'Dana Carvey', 'Cary Grant', 'Rutger Hauer', 'Ralph Fiennes', 'Grace Kelly', 'Carrie-Anne Moss', 'Rodney A. Grant', 'William Atherton', 'Slim Pickens', 'Henry Czerny', 'Richard White', 'Peter Sellers', 'Frederic Forrest', 'Steve Buscemi', 'Andie MacDowell', 'Ziyi Zhang', 'Viggo Mortensen', 'Michael Bates', 'Jon Seda', 'James Caan', 'Geoffrey Rush', 'Harvey Keitel', 'Ray Liotta', 'Raul Julia', 'Tommy Lee Jones', 'Dominique Dunne', 'Michael J. Fox', 'Ben Affleck', 'Cuba Gooding Jr.', 'Carrie Fisher', 'Xander Berkeley', 'Joseph Cotten', 'Richard Dreyfuss', 'Suzanne Pleshette', 'Emilio Estevez', 'Sally Field', 'Jonathan Freeman', 'Al Pacino', 'Joe Pesci', 'Jamie Lee Curtis', 'Helena Bonham Carter', 'Linda Blair', 'Thandie Newton', 'Mia Sara', 'Sydney Pollack', 'Tim Robbins', 'David Morse', 'Vince Vaughn', 'Kim Hunter', 'Geena Davis', 'Ben Stiller', 'Robert MacNaughton', 'Helen Hunt', 'Christian Slater', 'Mel Gibson', 'Danny Mann', 'Carl Weathers', 'Rupert Grint', 'Bill Paxton', 'Anthony Hopkins', 'Tony Shalhoub', 'Bonnie Bedelia', 'Judy Garland', 'Larry Miller', 'Bob Griffin'}
@attribute language {'English', 'Mandarin'}
@attribute class {0.0, 1.0}
@data
'Adventure','Pete Docter','Steve Buscemi','English',1.0
'Adventure','Pete Docter','James Coburn','English',1.0
'Adventure','Pete Docter','Billy Crystal','English',1.0
'Animation','Pete Docter','Steve Buscemi','English',1.0
'Animation','Pete Docter','James Coburn','English',1.0
'Animation','Pete Docter','Billy Crystal','English',1.0
'Children','Pete Docter','Steve Buscemi','English',1.0
'Children','Pete Docter','James Coburn','English',1.0
'Children','Pete Docter','Billy Crystal','English',1.0
'Horror','M. Night Shyamalan','Mel Gibson','English',0.0
'Horror','M. Night Shyamalan','Joaquin Phoenix','English',0.0
'Horror','M. Night Shyamalan','Rory Culkin','English',0.0
'Sci-Fi','M. Night Shyamalan','Mel Gibson','English',0.0
'Sci-Fi','M. Night Shyamalan','Joaquin Phoenix','English',0.0
'Sci-Fi','M. Night Shyamalan','Rory Culkin','English',0.0
'Thriller','M. Night Shyamalan','Mel Gibson','English',0.0
'Thriller','M. Night Shyamalan','Joaquin Phoenix','English',0.0
'Thriller','M. Night Shyamalan','Rory Culkin','English',0.0
'Comedy','Peter Cattaneo','Mark Addy','English',1.0
'Comedy','Peter Cattaneo','Robert Carlyle','English',1.0
'Comedy','Peter Cattaneo','Steve Huison','English',1.0
'Drama','Peter Cattaneo','Mark Addy','English',1.0
'Drama','Peter Cattaneo','Robert Carlyle','English',1.0
'Drama','Peter Cattaneo','Steve Huison','English',1.0
'Action','Michael Bay','Ben Affleck','English',1.0
'Action','Michael Bay','Billy Bob Thornton','English',1.0
'Action','Michael Bay','Bruce Willis','English',1.0
'Romance','Michael Bay','Ben Affleck','English',1.0
'Romance','Michael Bay','Billy Bob Thornton','English',1.0
'Romance','Michael Bay','Bruce Willis','English',1.0
'Sci-Fi','Michael Bay','Ben Affleck','English',1.0
'Sci-Fi','Michael Bay','Billy Bob Thornton','English',1.0
'Sci-Fi','Michael Bay','Bruce Willis','English',1.0
'Action','George Lucas','Mark Hamill','English',1.0
'Action','George Lucas','Harrison Ford','English',1.0
'Action','George Lucas','Carrie Fisher','English',1.0
'Adventure','George Lucas','Mark Hamill','English',1.0
'Adventure','George Lucas','Harrison Ford','English',1.0
'Adventure','George Lucas','Carrie Fisher','English',1.0
'Sci-Fi','George Lucas','Mark Hamill','English',1.0
'Sci-Fi','George Lucas','Harrison Ford','English',1.0
'Sci-Fi','George Lucas','Carrie Fisher','English',1.0
'Comedy','Spike Jonze','John Cusack','English',1.0
'Comedy','Spike Jonze','Cameron Diaz','English',1.0
'Comedy','Spike Jonze','Catherine Keener','English',1.0
'Drama','Spike Jonze','John Cusack','English',1.0
'Drama','Spike Jonze','Cameron Diaz','English',1.0
'Drama','Spike Jonze','Catherine Keener','English',1.0
'Fantasy','Spike Jonze','John Cusack','English',1.0
'Fantasy','Spike Jonze','Cameron Diaz','English',1.0
'Fantasy','Spike Jonze','Catherine Keener','English',1.0
'Adventure','Peter Jackson','Sean Astin','English',1.0
'Adventure','Peter Jackson','Ian McKellen','English',1.0
'Adventure','Peter Jackson','Viggo Mortensen','English',1.0
'Fantasy','Peter Jackson','Sean Astin','English',1.0
'Fantasy','Peter Jackson','Ian McKellen','English',1.0
'Fantasy','Peter Jackson','Viggo Mortensen','English',1.0
'Drama','Andrew Niccol','Xander Berkeley','English',1.0
'Drama','Andrew Niccol','Ethan Hawke','English',1.0
'Drama','Andrew Niccol','Jude Law','English',1.0
'Sci-Fi','Andrew Niccol','Xander Berkeley','English',1.0
'Sci-Fi','Andrew Niccol','Ethan Hawke','English',1.0
'Sci-Fi','Andrew Niccol','Jude Law','English',1.0
'Thriller','Andrew Niccol','Xander Berkeley','English',1.0
'Thriller','Andrew Niccol','Ethan Hawke','English',1.0
'Thriller','Andrew Niccol','Jude Law','English',1.0
'Action','Wolfgang Petersen','Harrison Ford','English',0.0
'Action','Wolfgang Petersen','Gary Oldman','English',0.0
'Action','Wolfgang Petersen','Glenn Close','English',0.0
'Thriller','Wolfgang Petersen','Harrison Ford','English',0.0
'Thriller','Wolfgang Petersen','Gary Oldman','English',0.0
'Thriller','Wolfgang Petersen','Glenn Close','English',0.0
'Action','David Fincher','Edward Norton','English',1.0
'Action','David Fincher','Brad Pitt','English',1.0
'Action','David Fincher','Helena Bonham Carter','English',1.0
'Crime','David Fincher','Edward Norton','English',1.0
'Crime','David Fincher','Brad Pitt','English',1.0
'Crime','David Fincher','Helena Bonham Carter','English',1.0
'Drama','David Fincher','Edward Norton','English',1.0
'Drama','David Fincher','Brad Pitt','English',1.0
'Drama','David Fincher','Helena Bonham Carter','English',1.0
'Adventure','Steven Spielberg','Haley Joel Osment','English',1.0
'Adventure','Steven Spielberg','Frances OConnor','English',1.0
'Adventure','Steven Spielberg','Sam Robards','English',1.0
'Drama','Steven Spielberg','Haley Joel Osment','English',1.0
'Drama','Steven Spielberg','Frances OConnor','English',1.0
'Drama','Steven Spielberg','Sam Robards','English',1.0
'Sci-Fi','Steven Spielberg','Haley Joel Osment','English',1.0
'Sci-Fi','Steven Spielberg','Frances OConnor','English',1.0
'Sci-Fi','Steven Spielberg','Sam Robards','English',1.0
'Action','Gore Verbinski','Johnny Depp','English',0.0
'Action','Gore Verbinski','Geoffrey Rush','English',0.0
'Action','Gore Verbinski','Orlando Bloom','English',0.0
'Adventure','Gore Verbinski','Johnny Depp','English',0.0
'Adventure','Gore Verbinski','Geoffrey Rush','English',0.0
'Adventure','Gore Verbinski','Orlando Bloom','English',0.0
'Comedy','Gore Verbinski','Johnny Depp','English',0.0
'Comedy','Gore Verbinski','Geoffrey Rush','English',0.0
'Comedy','Gore Verbinski','Orlando Bloom','English',0.0
'Action','Bryan Singer','Hugh Jackman','English',0.0
'Action','Bryan Singer','Patrick Stewart','English',0.0
'Action','Bryan Singer','Ian McKellen','English',0.0
'Adventure','Bryan Singer','Hugh Jackman','English',0.0
'Adventure','Bryan Singer','Patrick Stewart','English',0.0
'Adventure','Bryan Singer','Ian McKellen','English',0.0
'Sci-Fi','Bryan Singer','Hugh Jackman','English',0.0
'Sci-Fi','Bryan Singer','Patrick Stewart','English',0.0
'Sci-Fi','Bryan Singer','Ian McKellen','English',0.0
'Crime','Steven Soderbergh','Benicio Del Toro','English',1.0
'Crime','Steven Soderbergh','Jacob Vargas','English',1.0
'Crime','Steven Soderbergh','Andrew Chavez','English',1.0
'Drama','Steven Soderbergh','Benicio Del Toro','English',1.0
'Drama','Steven Soderbergh','Jacob Vargas','English',1.0
'Drama','Steven Soderbergh','Andrew Chavez','English',1.0
'Thriller','Steven Soderbergh','Benicio Del Toro','English',1.0
'Thriller','Steven Soderbergh','Jacob Vargas','English',1.0
'Thriller','Steven Soderbergh','Andrew Chavez','English',1.0
'Comedy','Tom Shadyac','James Coburn','English',0.0
'Comedy','Tom Shadyac','Larry Miller','English',0.0
'Comedy','Tom Shadyac','Eddie Murphy','English',0.0
'Fantasy','Tom Shadyac','James Coburn','English',0.0
'Fantasy','Tom Shadyac','Larry Miller','English',0.0
'Fantasy','Tom Shadyac','Eddie Murphy','English',0.0
'Romance','Tom Shadyac','James Coburn','English',0.0
'Romance','Tom Shadyac','Larry Miller','English',0.0
'Romance','Tom Shadyac','Eddie Murphy','English',0.0
'Drama','Stanley Kubrick','Tom Cruise','English',1.0
'Drama','Stanley Kubrick','Nicole Kidman','English',1.0
'Drama','Stanley Kubrick','Sydney Pollack','English',1.0
'Mystery','Stanley Kubrick','Tom Cruise','English',1.0
'Mystery','Stanley Kubrick','Nicole Kidman','English',1.0
'Mystery','Stanley Kubrick','Sydney Pollack','English',1.0
'Thriller','Stanley Kubrick','Tom Cruise','English',1.0
'Thriller','Stanley Kubrick','Nicole Kidman','English',1.0
'Thriller','Stanley Kubrick','Sydney Pollack','English',1.0
'Drama','Daniel Myrick','Bob Griffin','English',1.0
'Drama','Daniel Myrick','Joshua Leonard','English',1.0
'Drama','Daniel Myrick','Michael C. Williams','English',1.0
'Horror','Daniel Myrick','Bob Griffin','English',1.0
'Horror','Daniel Myrick','Joshua Leonard','English',1.0
'Horror','Daniel Myrick','Michael C. Williams','English',1.0
'Thriller','Daniel Myrick','Bob Griffin','English',1.0
'Thriller','Daniel Myrick','Joshua Leonard','English',1.0
'Thriller','Daniel Myrick','Michael C. Williams','English',1.0
'Drama','Cameron Crowe','Tom Cruise','English',1.0
'Drama','Cameron Crowe','Cuba Gooding Jr.','English',1.0
'Drama','Cameron Crowe','Kelly Preston','English',1.0
'Romance','Cameron Crowe','Tom Cruise','English',1.0
'Romance','Cameron Crowe','Cuba Gooding Jr.','English',1.0
'Romance','Cameron Crowe','Kelly Preston','English',1.0
'Comedy','Chris Weitz','Jason Biggs','English',1.0
'Comedy','Chris Weitz','Chris Klein','English',1.0
'Comedy','Chris Weitz','Seann William Scott','English',1.0
'Romance','Chris Weitz','Jason Biggs','English',1.0
'Romance','Chris Weitz','Chris Klein','English',1.0
'Romance','Chris Weitz','Seann William Scott','English',1.0
'Adventure','David Fincher','Michael Douglas','English',1.0
'Adventure','David Fincher','Sean Penn','English',1.0
'Adventure','David Fincher','Deborah Kara Unger','English',1.0
'Film-Noir','David Fincher','Michael Douglas','English',1.0
'Film-Noir','David Fincher','Sean Penn','English',1.0
'Film-Noir','David Fincher','Deborah Kara Unger','English',1.0
'Mystery','David Fincher','Michael Douglas','English',1.0
'Mystery','David Fincher','Sean Penn','English',1.0
'Mystery','David Fincher','Deborah Kara Unger','English',1.0
'Animation','Trey Parker','Trey Parker','English',1.0
'Animation','Trey Parker','Matt Stone','English',1.0
'Animation','Trey Parker','Mary Kay Bergman','English',1.0
'Comedy','Trey Parker','Trey Parker','English',1.0
'Comedy','Trey Parker','Matt Stone','English',1.0
'Comedy','Trey Parker','Mary Kay Bergman','English',1.0
'Musical','Trey Parker','Trey Parker','English',1.0
'Musical','Trey Parker','Matt Stone','English',1.0
'Musical','Trey Parker','Mary Kay Bergman','English',1.0
'Action','Tim Burton','Jack Nicholson','English',1.0
'Action','Tim Burton','Glenn Close','English',1.0
'Action','Tim Burton','Annette Bening','English',1.0
'Comedy','Tim Burton','Jack Nicholson','English',1.0
'Comedy','Tim Burton','Glenn Close','English',1.0
'Comedy','Tim Burton','Annette Bening','English',1.0
'Sci-Fi','Tim Burton','Jack Nicholson','English',1.0
'Sci-Fi','Tim Burton','Glenn Close','English',1.0
'Sci-Fi','Tim Burton','Annette Bening','English',1.0
'Adventure','Chris Columbus','Daniel Radcliffe','English',1.0
'Adventure','Chris Columbus','Emma Watson','English',1.0
'Adventure','Chris Columbus','Rupert Grint','English',1.0
'Children','Chris Columbus','Daniel Radcliffe','English',1.0
'Children','Chris Columbus','Emma Watson','English',1.0
'Children','Chris Columbus','Rupert Grint','English',1.0
'Fantasy','Chris Columbus','Daniel Radcliffe','English',1.0
'Fantasy','Chris Columbus','Emma Watson','English',1.0
'Fantasy','Chris Columbus','Rupert Grint','English',1.0
'Crime','Curtis Hanson','James Cromwell','English',1.0
'Crime','Curtis Hanson','Russell Crowe','English',1.0
'Crime','Curtis Hanson','Guy Pearce','English',1.0
'Film-Noir','Curtis Hanson','James Cromwell','English',1.0
'Film-Noir','Curtis Hanson','Russell Crowe','English',1.0
'Film-Noir','Curtis Hanson','Guy Pearce','English',1.0
'Mystery','Curtis Hanson','James Cromwell','English',1.0
'Mystery','Curtis Hanson','Russell Crowe','English',1.0
'Mystery','Curtis Hanson','Guy Pearce','English',1.0
'Action','Steven Spielberg','Tom Cruise','English',1.0
'Action','Steven Spielberg','Max von Sydow','English',1.0
'Action','Steven Spielberg','Steve Harris','English',1.0
'Crime','Steven Spielberg','Tom Cruise','English',1.0
'Crime','Steven Spielberg','Max von Sydow','English',1.0
'Crime','Steven Spielberg','Steve Harris','English',1.0
'Mystery','Steven Spielberg','Tom Cruise','English',1.0
'Mystery','Steven Spielberg','Max von Sydow','English',1.0
'Mystery','Steven Spielberg','Steve Harris','English',1.0
'Action','Roland Emmerich','Will Smith','English',0.0
'Action','Roland Emmerich','Bill Pullman','English',0.0
'Action','Roland Emmerich','Jeff Goldblum','English',0.0
'Adventure','Roland Emmerich','Will Smith','English',0.0
'Adventure','Roland Emmerich','Bill Pullman','English',0.0
'Adventure','Roland Emmerich','Jeff Goldblum','English',0.0
'Sci-Fi','Roland Emmerich','Will Smith','English',0.0
'Sci-Fi','Roland Emmerich','Bill Pullman','English',0.0
'Sci-Fi','Roland Emmerich','Jeff Goldblum','English',0.0
'Crime','Steven Spielberg','Leonardo DiCaprio',?,1.0
'Crime','Steven Spielberg','Tom Hanks',?,1.0
'Crime','Steven Spielberg','Martin Sheen',?,1.0
'Drama','Steven Spielberg','Leonardo DiCaprio',?,1.0
'Drama','Steven Spielberg','Tom Hanks',?,1.0
'Drama','Steven Spielberg','Martin Sheen',?,1.0
'Comedy','Danny Boyle','Ewan McGregor','English',1.0
'Comedy','Danny Boyle','Jonny Lee Miller','English',1.0
'Comedy','Danny Boyle','Ewen Bremner','English',1.0
'Crime','Danny Boyle','Ewan McGregor','English',1.0
'Crime','Danny Boyle','Jonny Lee Miller','English',1.0
'Crime','Danny Boyle','Ewen Bremner','English',1.0
'Drama','Danny Boyle','Ewan McGregor','English',1.0
'Drama','Danny Boyle','Jonny Lee Miller','English',1.0
'Drama','Danny Boyle','Ewen Bremner','English',1.0
'Action','Ridley Scott','Russell Crowe','English',1.0
'Action','Ridley Scott','Joaquin Phoenix','English',1.0
'Action','Ridley Scott','Oliver Reed','English',1.0
'Adventure','Ridley Scott','Russell Crowe','English',1.0
'Adventure','Ridley Scott','Joaquin Phoenix','English',1.0
'Adventure','Ridley Scott','Oliver Reed','English',1.0
'Drama','Ridley Scott','Russell Crowe','English',1.0
'Drama','Ridley Scott','Joaquin Phoenix','English',1.0
'Drama','Ridley Scott','Oliver Reed','English',1.0
